S/N,State,2010_IGR,2011_IGR,2012_IGR
1,ABIA,"11,124,643,033.22","11,763,510,585.86","16,751,700,375.58"
2,ADAMAWA,"4,208,037,781.45","4,149,550,775.70","4,615,407,803.00"
3,AKWA IBOM,"10,133,958,927.00","11,678,520,984.00","13,516,810,150.00"
4,ANAMBRA,"7,655,785,733.05","6,148,922,395.00","7,601,585,012.15"
5,BAUCHI,"3,402,848,015.39","4,463,780,451.92","4,064,710,425.23"
6,BAYELSA,"4,710,021,000.00","10,500,936,262.88","4,958,806,727.00"
7,BENUE,"6,877,690,630.00","11,131,343,534.58","8,436,560,608.98"
8,BORNO,"2,108,612,985.25","2,282,102,699.76","2,444,613,205.37"
9,CROSS RIVER,"7,870,941,915.00","9,159,651,948.00","12,734,560,333.00"
10,DELTA,"26,087,346,526.00","34,750,081,881.93","45,566,897,481.00"
11,EBONYI,"12,998,269,207.69",0,0
12,EDO,"10,651,999,356.60","14,764,018,237.44","18,880,055,380.83"
13,EKITI,"1,554,020,325.64","2,489,797,191.33","3,787,607,515.35"
14,ENUGU,"13,795,511,815.00","7,287,161,299","12,209,587,683.00"
15,GOMBE,"2,954,868,571.34","3,153,362,788.35","3,717,188,863.22"
16,IMO,"5,714,554,547.72","5,806,462,989.22","6,810,221,957.04"
17,JIGAWA,"1,241,956,756.54","1,482,918,912.88",0
18,KADUNA,"11,564,414,063.48","9,781,946,157.96","11,531,795,961.69"
19,KANO,"6,618,936,565.04","6,618,936,565.04","11,051,971,481.61"
20,KATSINA,"3,151,689,985.00","4,239,692,674.00","5,029,720,846.00"
21,KEBBI,"3,807,258,812.42","4,472,397,621.47","5,424,015,848.65"
22,KOGI,"2,217,504,390.25","2,848,556,782.15","3,185,459,549.72"
23,KWARA,"7,295,348,963.22","8,816,657,944.50","11,317,269,584.36"
24,LAGOS,"149,966,383,196.47","202,761,061,679.60","219,202,426,843.89"
25,NASARAWA,"1,850,541,963.18","4,132,282,812.68","4,132,282,812.68"
26,NIGER,"3,257,215,894.60","4,115,777,679.30","3,782,827,634.99"
27,OGUN,"7,917,662,341.92","10,838,698,403.20","12,438,765,025.22"
28,ONDO,"6,480,372,918.69","8,015,725,375.26","10,153,042,597.01"
29,OSUN,"3,376,735,645.43","7,398,572,036.48","5,020,250,633.94"
30,OYO,"10,488,362,233.80","8,915,603,182.50","14,598,808,723.10"
31,PLATEAU,"3,398,815,261.07","4,520,622,617.37","6,927,858,653.07"
32,RIVERS,"49,632,280,280.92","52,711,985,543.27","66,275,698,676.01"
33,SOKOTO,"3,888,400,925.16","4,185,153,701.13","4,313,699,006.03"
34,TARABA,"1,284,745,422.40","2,869,031,498.92","3,418,289,991.33"
35,YOBE,"5,960,502,339.45","2,385,653,776.94","1,785,221,060.95"
36,ZAMFARA,"2,068,729,575,95","1,714,432,462.63","2,592,935,139.95"
