S/N,State,2013_IGR,2014_IGR
1,LAGOS,"236,195,308,896.71","276,163,978,675.95"
2,RIVERS,"87,914,415,268.80","89,112,448,347.58"
3,DELTA,"50,208,229,986.91","42,819,209,025.24"
4,EDO,"18,899,322,710.47","17,023,595,231.62"
5,ENUGU,"20,203,802,864.00","19,250,345,593.00"
6,AKWA IBOM,"15,398,828,428.00","15,676,502,423.00"
7,OYO,"15,251,369,563.24","16,307,233,700.20"
8,ABIA,"12,512,103,711.18","12,371,194,895.08"
9,OGUN,"13,777,026,969.63","17,497,620,787.52"
10,CROSS RIVER,"12,002,167,999.57","15,738,850,743.95"
11,KADUNA,"10,932,071,462.59","12,782,522,514.51"
12,KANO,"17,142,211,079.94","13,661,853,935.85"
13,KWARA,"13,838,085,972.51","12,460,517,954.55"
14,ONDO,"10,498,697,469.99","11,718,741,502.49"
15,BENUE,"8,373,720,592.15","8,284,425,160.72"
16,ANAMBRA,"8,731,599,912.43","10,454,312,316.18"
17,BAYELSA,"10,500,936,262.88","10,958,263,688.00"
18,EBONYI,"10,427,861,231.23","11,032,472,512.00"
19,IMO,"7,583,501,933.27","8,115,751,385.95"
20,PLATEAU,"8,486,806,640.08","8,284,425,159.92"
21,OSUN,"7,284,225,003.77","8,513,274,186.67"
22,JIGAWA,"9,755,337,731.73","6,273,310,616.35"
23,KATSINA,"6,852,511,585.00","6,223,037,599.00"
24,SOKOTO,"5,509,132,929.43","5,617,763,260.35"
25,ADAMAWA,"4,149,550,775.70","4,994,481,880.78"
26,BAUCHI,"4,937,242,875.83","4,853,453,184.87"
27,KEBBI,"3,732,343,145.11","3,834,143,641.95"
28,NIGER,"4,115,777,679.30","5,737,185,035.88"
29,KOGI,"5,020,349,740.18","6,569,928,653.47"
30,GOMBE,"3,870,998,757.79","5,196,460,381.93"
31,NASARAWA,"4,012,291,835.93","4,085,127,585.70"
32,YOBE,"3,072,006,109.88","3,073,780,160.87"
33,TARABA,"3,344,006,052.45","3,799,040,873.48"
34,EKITI,"2,339,670,199.77","3,462,341,448.32"
35,ZAMFARA,"3,039,396,601.83","3,149,630,553.96"
36,BORNO,"2,132,815,258.00","2,760,773,778.99"
