State,2017_IGR
Abia,"14,917,141,805.80"
Adamawa,"6,201,369,567.23"
Akwa Ibom,"15,956,354,035.30"
Anambra,"17,365,385,830.51"
Bauchi,"4,369,411,450.27"
Bayelsa,"12,523,812,450.59"
Benue,"12,399,414,557.79"
Borno,"4,983,331,049.24"
Cross River,"18,104,562,225.62"
Delta,"51,888,005,338.33"
Ebonyi,"5,102,902,366.82"
Edo,"25,342,829,212.22"
Ekiti,"4,967,499,815.79"
Enugu,"22,039,222,902.86"
Gombe,"5,272,273,408.28"
Imo,"6,850,796,866.07"
Jigawa,"6,650,200,980.11"
Kaduna,"26,530,562,880.89"
Kano,"42,418,811,470.64"
Katsina,"6,029,850,857.76"
Kebbi,"4,393,773,965.39"
Kogi,"11,244,260,974.75"
Kwara,"19,637,873,512.22"
Lagos,"333,967,978,880.44"
Nasarawa,"6,174,136,952.59"
Niger,"6,517,939,033.07"
Ogun,"74,835,979,000.51"
Ondo,"10,927,871,479.76"
Osun,"11,731,026,444.38"
Oyo,"22,448,338,824.61"
Plateau,"10,788,283,409.45"
Rivers,"89,484,983,409.10"
Sokoto,"9,018,844,307.29"
Taraba,"5,764,251,233.85"
Yobe,"3,598,131,936.59"
Zamfara,"6,023,994,930.94"
